FileName,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
face-1646-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA
face-1645-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA
face-1416-1-Go.png,0.455063045,8.85E-05,0.07225339,0.000388211,0.000122516,0.021432353,0.000859726,0.449792266
face-1415-1-Go.png,0.03642346,0.017905725,0.05956736,0.000719433,0.022100499,0.6883084,0.009796325,0.1651788
face-1414-1-Go.png,0.000558472,0.002568129,5.11E-05,3.88E-06,0.004729263,0.9914478,0.000588747,5.25E-05
face-1774-1-Go.png,0.004944629,0.000693218,0.000200967,3.18E-05,7.59E-05,0.904840231,0.08910409,0.000109114
face-1771-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA
face-1410-1-Go.png,0.001971787,0.000304618,0.001071644,0.003112838,4.78E-05,0.9313217,0.019823773,0.042345844
face-1413-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA
face-1766-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA
face-1764-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA
face-1762-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA
face-1760-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA
face-1761-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA
face-1757-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA
face-1755-1-Go.png,0.005087524,0.002123155,0.005118939,0.011471507,4.08E-05,0.831087232,0.059718385,0.085352525
face-1746-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA
face-1747-1-Go.png,0.00377456,0.002036405,0.000823479,0.003800136,0.00052446,0.9494739,0.004118338,0.035448723
face-1748-3-Go.png,0.000967926,1.75E-05,0.000303364,0.000190508,0.00031886,0.9833239,0.008625335,0.006252634
face-1754-1-Go.png,0.004011506,0.005991296,0.008654307,0.006416068,0.001175085,0.817664564,0.126310721,0.029776443
face-1753-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA
face-1751-1-Go.png,0.137251765,0.003954149,0.029849293,0.004067628,3.81E-05,0.788725138,0.018269038,0.017844934
face-1752-1-Go.png,0.000573754,0.000668127,0.000539532,0.002117494,7.87E-05,0.9554708,0.013765853,0.0267857
