"FileName","anger","contempt","disgust","fear","happiness","neutral","sadness","surprise","file","graphic","person","situation","bg","shotangle","boxID","detect","obscured","lighting","headangle","glasses","visorhat","type","time.user.self","time.sys.self","time.elapsed","minX","maxX","minY","maxY","matchesManual","size","year","court","round","player1","country1","player2","country2","matchDraw","duplicates","fileID","FaceKey","FaceID"
"face-1646-1-Go.png",NA,NA,NA,NA,NA,NA,NA,NA,"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0011.png","Live image","Person","Court player close-up","Logo wall","Player Shoulder Height",1,"Player","No","Partially shaded","Profile","No","No","Google",0.104,0,2.338,351,419,75,155,TRUE,5440,2016,"SC2","R02","DDzumhur","BIH","DGoffin","BEL","MS212",FALSE,1646,"1646-1","1646-1-Go"
"face-1645-2-Go.png",NA,NA,NA,NA,NA,NA,NA,NA,"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0010.png","Live image","Person","Court player close-up","Logo wall","Player Shoulder Height",2,"Player","Yes","Partially shaded","Profile","No","No","Google",0.12,0,2.953,295,384,28,132,TRUE,9256,2016,"SC2","R02","DDzumhur","BIH","DGoffin","BEL","MS212",FALSE,1645,"1645-2","1645-2-Go"
"face-1416-1-Go.png",0.455063045,8.85e-05,0.07225339,0.000388211,0.000122516,0.021432353,0.000859726,0.449792266,"2016_RLA_R01_LKumkhum_THA_vs_PKvitova_CZE_WS132_clip.0038.png","Live image","Person","Court player close-up","Logo wall","Player Shoulder Height",1,"Player","No","Partially shaded","Other","No","No","Google",0.168,0.004,3.056,128,275,0,165,TRUE,24255,2016,"RLA","R01","LKumkhum","THA","PKvitova","CZE","WS132",FALSE,1416,"1416-1","1416-1-Go"
"face-1415-1-Go.png",0.03642346,0.017905725,0.05956736,0.000719433,0.022100499,0.6883084,0.009796325,0.1651788,"2016_RLA_R01_LKumkhum_THA_vs_PKvitova_CZE_WS132_clip.0018.png","Live image","Person","Court player close-up","Court","Birds Eye",1,"Player","Yes","Partially shaded","Front on","No","No","Google",0.172,0.008,2.715,251,430,36,245,TRUE,37411,2016,"RLA","R01","LKumkhum","THA","PKvitova","CZE","WS132",FALSE,1415,"1415-1","1415-1-Go"
"face-1414-1-Go.png",0.000558472,0.002568129,5.11e-05,3.88e-06,0.004729263,0.9914478,0.000588747,5.25e-05,"2016_RLA_R01_LKumkhum_THA_vs_PKvitova_CZE_WS132_clip.0017.png","Live image","Person","Court in play","Court","Birds Eye",1,"Player","Yes","Partially shaded","Front on","No","No","Google",0.18,0.008,2.775,369,475,40,163,TRUE,13038,2016,"RLA","R01","LKumkhum","THA","PKvitova","CZE","WS132",FALSE,1414,"1414-1","1414-1-Go"
"face-1774-1-Go.png",0.004944629,0.000693218,0.000200967,3.18e-05,7.59e-05,0.904840231,0.08910409,0.000109114,"2016_SC2_R02_XHan_CHN_vs_YPutintseva_KAZ_WS204_clip.0115.png","Live image","Person","Off court close up of player","Logo wall","Player Shoulder Height",1,"Player","Yes","Shaded","Front on","No","Yes","Google",0.1,0.004,2.685,289,405,54,189,TRUE,15660,2016,"SC2","R02","XHan","CHN","YPutintseva","KAZ","WS204",FALSE,1774,"1774-1","1774-1-Go"
"face-1771-2-Go.png",NA,NA,NA,NA,NA,NA,NA,NA,"2016_SC2_R02_XHan_CHN_vs_YPutintseva_KAZ_WS204_clip.0073.png","Live image","Person","Court player close-up","Logo wall","Player Shoulder Height",2,"Player","Yes","Shaded","Other","No","Yes","Google",0.1,0,2.614,224,357,40,195,TRUE,20615,2016,"SC2","R02","XHan","CHN","YPutintseva","KAZ","WS204",FALSE,1771,"1771-2","1771-2-Go"
"face-1410-1-Go.png",0.001971787,0.000304618,0.001071644,0.003112838,4.78e-05,0.9313217,0.019823773,0.042345844,"2016_RLA_R01_JDuckworth_AUS_vs_LHewitt_AUS_MS150_clip.0080.png","Live image","Person","Court player close-up","Logo wall","Birds Eye",1,"Player","No","Partially shaded","Other","No","Yes","Google",0.204,0,2.832,438,630,73,296,TRUE,42816,2016,"RLA","R01","JDuckworth","AUS","LHewitt","AUS","MS150",FALSE,1410,"1410-1","1410-1-Go"
"face-1413-1-Go.png",NA,NA,NA,NA,NA,NA,NA,NA,"2016_RLA_R01_LKumkhum_THA_vs_PKvitova_CZE_WS132_clip.0016.png","Live image","Person","Court in play","Court","Birds Eye",1,"Player","Yes","Partially shaded","Front on","No","No","Google",0.164,0.012,2.973,394,445,43,103,TRUE,3060,2016,"RLA","R01","LKumkhum","THA","PKvitova","CZE","WS132",FALSE,1413,"1413-1","1413-1-Go"
"face-1766-1-Go.png",NA,NA,NA,NA,NA,NA,NA,NA,"2016_SC2_R02_XHan_CHN_vs_YPutintseva_KAZ_WS204_clip.0052.png","Live image","Person","Court player close-up","Logo wall","Player Shoulder Height",1,"Player","No","Shaded","Other","No","Yes","Google",0.104,0,2.859,234,374,73,235,TRUE,22680,2016,"SC2","R02","XHan","CHN","YPutintseva","KAZ","WS204",FALSE,1766,"1766-1","1766-1-Go"
