"","file","graphic","person","situation","bg","shotangle","boxID","ID","facecounter","detect","obscured","lighting","headangle","glasses","visorhat","type","time.user.self","time.sys.self","time.elapsed","minX","maxX","minY","maxY","matchesManual","size","year","court","round","player1","country1","player2","country2","matchDraw","duplicates"
"1","2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0001.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2","2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0002.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",TRUE
"3","2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0003.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",TRUE
"4","2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0004.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",TRUE
"5","2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0005.png",0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",TRUE
"6","2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0006.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",TRUE
"7","2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0007.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",TRUE
"8","2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0008.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",TRUE
"9","2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0009.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",TRUE
"10","2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0010.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",TRUE
"11","2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0011.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",TRUE
"12","2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0012.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",TRUE
"13","2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0013.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",TRUE
"14","2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0014.png",0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",TRUE
"15","2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0015.png",0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",TRUE
