file,graphic,person,situation,bg,shotangle,boxID,detect,obscured,lighting,headangle,glasses,visorhat,type,time.user.self,time.sys.self,time.elapsed,minX,maxX,minY,maxY,matchesManual,size,year,court,round,player1,country1,player2,country2,matchDraw,duplicates,fileID,FaceKey,FaceID
2016_CT6_R01_GMonfils_FRA_vs_YSugita_JPN_MS137_clip.0023.png,Live image,Person,Court player close-up,Crowd,Player Shoulder Height,1,Fan,No,Partially shaded,Other,No,Yes,Google,0.088,0,3.039,177,258,69,163,TRUE,7614,2016,CT6,R01,GMonfils,FRA,YSugita,JPN,MS137,FALSE,1,1-Jan,1-1-Go
2016_CT6_R01_GMonfils_FRA_vs_YSugita_JPN_MS137_clip.0023.png,Live image,Person,Court player close-up,Crowd,Player Shoulder Height,2,Fan,Yes,Partially shaded,Front on,No,Yes,Google,0.088,0,3.039,0,65,30,105,TRUE,4875,2016,CT6,R01,GMonfils,FRA,YSugita,JPN,MS137,FALSE,1,1-Feb,1-2-Go
2016_CT6_R01_JBenneteau_FRA_vs_NAlmagro_ESP_MS122_clip.0001.png,Live image,Person,Off court close up of player,Logo wall,Upward Angle,2,Player,Yes,Shaded,Other,No,No,Google,0.172,0.004,2.919,293,432,50,212,TRUE,22518,2016,CT6,R01,JBenneteau,FRA,NAlmagro,ESP,MS122,FALSE,2,2-Feb,2-2-Go
2016_CT6_R01_JBenneteau_FRA_vs_NAlmagro_ESP_MS122_clip.0002.png,Live image,Person,Off court close up of player,Logo wall,Upward Angle,1,Player,Yes,Shaded,Other,No,No,Google,0.08,0.004,2.709,320,457,51,210,TRUE,21783,2016,CT6,R01,JBenneteau,FRA,NAlmagro,ESP,MS122,FALSE,3,3-Jan,3-1-Go
2016_CT6_R01_JBenneteau_FRA_vs_NAlmagro_ESP_MS122_clip.0003.png,Live image,Person,Off court close up of player,Logo wall,Upward Angle,2,Player,No,Shaded,Other,No,Yes,Google,0.08,0,2.714,355,492,38,199,TRUE,22057,2016,CT6,R01,JBenneteau,FRA,NAlmagro,ESP,MS122,FALSE,4,4-Feb,4-2-Go
2016_CT6_R01_JBenneteau_FRA_vs_NAlmagro_ESP_MS122_clip.0004.png,Live image,Person,Off court close up of player,Logo wall,Upward Angle,1,Player,No,Shaded,Other,No,Yes,Google,0.076,0.004,2.71,389,521,44,198,TRUE,20328,2016,CT6,R01,JBenneteau,FRA,NAlmagro,ESP,MS122,FALSE,5,5-Jan,5-1-Go
2016_CT6_R01_JBenneteau_FRA_vs_NAlmagro_ESP_MS122_clip.0006.png,Live image,Person,Off court close up of player,Logo wall,Upward Angle,1,Player,Yes,Partially shaded,Front on,No,Yes,Google,0.08,0,2.723,383,486,22,142,TRUE,12360,2016,CT6,R01,JBenneteau,FRA,NAlmagro,ESP,MS122,FALSE,7,7-Jan,7-1-Go
2016_CT6_R01_JBenneteau_FRA_vs_NAlmagro_ESP_MS122_clip.0007.png,Live image,Person,Off court close up of player,Logo wall,Upward Angle,2,Player,No,Partially shaded,Profile,No,Yes,Google,0.076,0.004,2.606,286,412,54,200,TRUE,18396,2016,CT6,R01,JBenneteau,FRA,NAlmagro,ESP,MS122,FALSE,8,8-Feb,8-2-Go
2016_CT6_R01_JBenneteau_FRA_vs_NAlmagro_ESP_MS122_clip.0008.png,Live image,Person,Off court close up of player,Logo wall,Upward Angle,1,Player,No,Partially shaded,Front on,No,Yes,Google,0.084,0,2.686,328,465,32,192,TRUE,21920,2016,CT6,R01,JBenneteau,FRA,NAlmagro,ESP,MS122,FALSE,9,9-Jan,9-1-Go
2016_CT6_R01_JBenneteau_FRA_vs_NAlmagro_ESP_MS122_clip.0009.png,Live image,Person,Off court close up of player,Logo wall,Upward Angle,1,Player,No,Partially shaded,Front on,No,Yes,Google,0.072,0,2.803,391,496,42,164,TRUE,12810,2016,CT6,R01,JBenneteau,FRA,NAlmagro,ESP,MS122,FALSE,10,10-Jan,10-1-Go
