"file","graphic","person","situation","bg","shotangle","ID","facecounter","detect","obscured","lighting","headangle","glasses","visorhat","boxID","type","time.user.self","time.sys.self","time.elapsed","minX","maxX","minY","maxY","matchesManual","size","year","court","round","player1","country1","player2","country2","matchDraw","duplicates"
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0001.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0002.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0003.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"Google",0.0800000000000001,0,2.60900000000001,364,426,49,121,FALSE,4464,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0004.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0005.png",0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0006.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0007.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0008.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0009.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0010.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"Google",0.112,0.004,2.59400000000002,370,419,32,88,FALSE,2744,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0011.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"Google",0.0680000000000001,0,2.78899999999999,344,390,36,90,FALSE,2484,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0012.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0013.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0014.png",0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0015.png",0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0016.png",0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0017.png",0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0018.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0019.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"Animetrics",0.159999999999997,0,4.71999999999935,26,95,170,239,FALSE,4761,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0020.png",0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0021.png",0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0022.png",0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0023.png",0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0024.png",0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0025.png",0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0026.png",0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0001.png",0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","CGarcia","FRA","BStrycova","CZE","WS145",FALSE
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0002.png",0,1,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","CGarcia","FRA","BStrycova","CZE","WS145",FALSE
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0003.png",0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","CGarcia","FRA","BStrycova","CZE","WS145",FALSE
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0004.png",0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","CT6","R01","CGarcia","FRA","BStrycova","CZE","WS145",FALSE
